datasetID	name	link	publisher	supplier	dataset metadata
COL-190	Jewel Beetles in Species 2000 & ITIS Catalogue of Life	http://www.catalogueoflife.org/col/details/database/id/190			
COL-191	WoRMS Copepoda in Species 2000 & ITIS Catalogue of Life	http://www.catalogueoflife.org/col/details/database/id/191			
COL-192	ColeorrhynchaSF in Species 2000 & ITIS Catalogue of Life	http://www.catalogueoflife.org/col/details/database/id/192			
COL-193	WoRMS Turbellarians in Species 2000 & ITIS Catalogue of Life	http://www.catalogueoflife.org/col/details/database/id/193			
COL-194	WoRMS Antipatharia in Species 2000 & ITIS Catalogue of Life	http://www.catalogueoflife.org/col/details/database/id/194			
COL-195	WoRMS Corallimorpharia in Species 2000 & ITIS Catalogue of Life	http://www.catalogueoflife.org/col/details/database/id/195			
COL-196	WoRMS Scleractinia in Species 2000 & ITIS Catalogue of Life	http://www.catalogueoflife.org/col/details/database/id/196			
COL-197	WoRMS Zoantharia in Species 2000 & ITIS Catalogue of Life	http://www.catalogueoflife.org/col/details/database/id/197			
COL-198	SF Isoptera in Species 2000 & ITIS Catalogue of Life	http://www.catalogueoflife.org/col/details/database/id/198			
COL-199	Pterophoroidea in Species 2000 & ITIS Catalogue of Life	http://www.catalogueoflife.org/col/details/database/id/199			
COL-200	WoRMS MilliBase in Species 2000 & ITIS Catalogue of Life	http://www.catalogueoflife.org/col/details/database/id/200			
COL-201	Fossil Ginkgoales in Species 2000 & ITIS Catalogue of Life	http://www.catalogueoflife.org/col/details/database/id/201			
COL-202	WoRMS Amphipoda in Species 2000 & ITIS Catalogue of Life	http://www.catalogueoflife.org/col/details/database/id/202			
COL-203	ThripsWiki in Species 2000 & ITIS Catalogue of Life	http://www.catalogueoflife.org/col/details/database/id/203			
COL-204	StaphBase in Species 2000 & ITIS Catalogue of Life	http://www.catalogueoflife.org/col/details/database/id/204			
