parent,child
http://eol.org/schema/terms/deserts_and_xeric_shrublands,http://eol.org/schema/terms/Central_Afghan_Mountains_xeric_woodlands
http://eol.org/schema/terms/deserts_and_xeric_shrublands,http://eol.org/schema/terms/Kopet_Dag_semi-desert
http://eol.org/schema/terms/deserts_and_xeric_shrublands,http://eol.org/schema/terms/Paropamisus_xeric_woodlands
http://eol.org/schema/terms/deserts_and_xeric_shrublands,http://eol.org/schema/terms/Persian_Gulf_desert_and_semi-desert
http://eol.org/schema/terms/deserts_and_xeric_shrublands,http://eol.org/schema/terms/Registan-North_Pakistan_sandy_desert
http://eol.org/schema/terms/deserts_and_xeric_shrublands,http://eol.org/schema/terms/South_Iran_Nubo-Sindian_desert_and_semi-desert
http://eol.org/schema/terms/deserts_and_xeric_shrublands,http://eol.org/schema/terms/Red_Sea_Nubo-Sindian_tropical_desert_and_semi-desert
http://eol.org/schema/terms/deserts_and_xeric_shrublands,http://eol.org/schema/terms/Arabian_Desert_and_East_Sahero-Arabian_xeric_shrublands
http://eol.org/schema/terms/deserts_and_xeric_shrublands,http://eol.org/schema/terms/Atlantic_coastal_desert
http://eol.org/schema/terms/deserts_and_xeric_shrublands,http://eol.org/schema/terms/Mesopotamian_shrub_desert
http://eol.org/schema/terms/deserts_and_xeric_shrublands,http://eol.org/schema/terms/Red_Sea_coastal_desert
http://eol.org/schema/terms/deserts_and_xeric_shrublands,http://eol.org/schema/terms/Sahara_desert
http://eol.org/schema/terms/deserts_and_xeric_shrublands,http://eol.org/schema/terms/South_Saharan_steppe_and_woodlands
http://eol.org/schema/terms/deserts_and_xeric_shrublands,http://eol.org/schema/terms/North_Saharan_steppe_and_woodlands
http://eol.org/schema/terms/deserts_and_xeric_shrublands,http://eol.org/schema/terms/Taklimakan_desert
http://eol.org/schema/terms/deserts_and_xeric_shrublands,http://eol.org/schema/terms/Alashan_Plateau_semi-desert
http://eol.org/schema/terms/deserts_and_xeric_shrublands,http://eol.org/schema/terms/Gobi_Lakes_Valley_desert_steppe
http://eol.org/schema/terms/deserts_and_xeric_shrublands,http://eol.org/schema/terms/Great_Lakes_Basin_desert_steppe
http://eol.org/schema/terms/deserts_and_xeric_shrublands,http://eol.org/schema/terms/Junggar_Basin_semi-desert
http://eol.org/schema/terms/deserts_and_xeric_shrublands,http://eol.org/schema/terms/Eastern_Gobi_desert_steppe
http://eol.org/schema/terms/deserts_and_xeric_shrublands,http://eol.org/schema/terms/Tibesti-Jebel_Uweinat_montane_xeric_woodlands
http://eol.org/schema/terms/deserts_and_xeric_shrublands,http://eol.org/schema/terms/West_Saharan_montane_xeric_woodlands
http://eol.org/schema/terms/deserts_and_xeric_shrublands,http://eol.org/schema/terms/Kazakh_semi-desert
http://eol.org/schema/terms/deserts_and_xeric_shrublands,http://eol.org/schema/terms/Qaidam_Basin_semi-desert
http://eol.org/schema/terms/boreal_forests_taiga,http://eol.org/schema/terms/East_Siberian_taiga
http://eol.org/schema/terms/boreal_forests_taiga,http://eol.org/schema/terms/Kamchatka-Kurile_meadows_and_sparse_forests
http://eol.org/schema/terms/boreal_forests_taiga,http://eol.org/schema/terms/Kamchatka-Kurile_taiga
http://eol.org/schema/terms/boreal_forests_taiga,http://eol.org/schema/terms/Northeast_Siberian_taiga
http://eol.org/schema/terms/boreal_forests_taiga,http://eol.org/schema/terms/Okhotsk-Manchurian_taiga
http://eol.org/schema/terms/boreal_forests_taiga,http://eol.org/schema/terms/Sakhalin_Island_taiga
http://eol.org/schema/terms/boreal_forests_taiga,http://eol.org/schema/terms/Scandinavian_and_Russian_taiga
